NroCOntrol	PlantaTipo	LugarPago	Escuela	Juris	Prog	SubP	Actividad	fuente	dias_trabajados	haberSinAporte	haberConAporte	total_haberes	total_descuentos	total_liquido	C01	I01	C02	I02	C03	I03	C04	I04	C05	I05	C06	I06	C07	I07	C08	I08	mes	anio
59134922	D	59106	80443	55	15	07	01	R	030	000577568	002163853	002741421	000389494	002351927	521	002163853	522	000577568	602	000281301	615	000108193	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59135554	D	59106	80443	55	15	07	01	R	030	000176620	002065065	002241685	000371711	001869974	521	002065065	522	000176620	602	000268458	615	000103253	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59140562	D	59106	80435	55	15	07	01	R	030	000553286	001808363	002361649	000325505	002036144	521	001808363	522	000553286	602	000235087	615	000090418	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59143963	D	59106	80451	55	15	07	01	R	030	000176620	002065065	002241685	000371711	001869974	521	002065065	522	000176620	602	000268458	615	000103253	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59144723	D	59106	80443	55	15	07	01	R	030	000351560	001740633	002092193	000313314	001778879	521	001740633	522	000351560	602	000226282	615	000087032	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59147213	D	59106	80443	55	15	07	01	R	030	000271940	001807989	002079929	000325438	001754491	521	001807989	522	000271940	602	000235039	615	000090399	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59148654	D	59106	80443	55	15	01	01	R	030	000522629	002065065	002587694	000392362	002195332	521	002065065	522	000522629	602	000268458	615	000103253	616	000020651	663	000000000	664	000000000	665	000000000	11	22
59148811	D	59106	80451	55	15	07	01	R	030	000153488	001726414	001879902	000310755	001569147	521	001726414	522	000153488	602	000224434	615	000086321	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59150813	D	59122	80443	55	15	07	01	R	030	000176620	002065065	002241685	000371711	001869974	521	002065065	522	000176620	602	000268458	615	000103253	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59151893	D	59106	80443	55	15	07	01	R	030	000176620	002065065	002241685	000371711	001869974	521	002065065	522	000176620	602	000268458	615	000103253	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59004871	D	59114	80443	55	15	07	01	R	030	000176620	002065065	002241685	000371711	001869974	521	002065065	522	000176620	602	000268458	615	000103253	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59073964	D	59106	80451	55	15	07	01	R	030	000587792	002313533	002901325	000416436	002484889	521	002313533	522	000587792	602	000300759	615	000115677	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59075482	D	59114	80451	55	15	07	01	R	030	000380826	002170862	002551688	000390755	002160933	521	002170862	522	000380826	602	000282212	615	000108543	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59078663	D	59106	80443	55	15	07	01	R	030	000183368	002163853	002347221	000389494	001957727	521	002163853	522	000183368	602	000281301	615	000108193	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59088215	D	59106	80435	55	15	07	01	R	030	000173502	002019412	002192914	000363495	001829419	521	002019412	522	000173502	602	000262524	615	000100971	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59093354	D	59122	80451	55	15	07	01	R	030	000183368	002163853	002347221	000389494	001957727	521	002163853	522	000183368	602	000281301	615	000108193	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59097992	D	59114	80451	55	15	01	01	R	030	000176620	002065065	002241685	000371711	001869974	521	002065065	522	000176620	602	000268458	615	000103253	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59100282	D	59106	80435	55	15	01	01	R	030	000176620	002065065	002241685	000371711	001869974	521	002065065	522	000176620	602	000268458	615	000103253	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59108293	D	59106	80443	55	15	01	01	R	030	000178435	002091633	002270068	000376494	001893574	521	002091633	522	000178435	602	000271912	615	000104582	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59116885	D	59122	80435	55	15	01	01	R	030	000176620	002065065	002241685	000371711	001869974	521	002065065	522	000176620	602	000268458	615	000103253	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59120923	D	59122	80435	55	15	07	01	R	030	000167368	001929604	002096972	000347329	001749643	521	001929604	522	000167368	602	000250849	615	000096480	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59123214	D	59106	80435	55	15	07	01	R	030	000417910	002024651	002442561	000364438	002078123	521	002024651	522	000417910	602	000263205	615	000101233	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59129082	D	59122	80443	55	15	07	01	R	030	000176620	002065065	002241685	000371711	001869974	521	002065065	522	000176620	602	000268458	615	000103253	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59132881	D	59106	80435	55	15	07	01	R	030	000288880	002065065	002353945	000371711	001982234	521	002065065	522	000288880	602	000268458	615	000103253	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59135075	D	59106	80451	55	15	01	01	R	030	000176620	002065065	002241685	000371711	001869974	521	002065065	522	000176620	602	000268458	615	000103253	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59137983	D	59106	80443	55	15	07	01	R	030	000171994	001997334	002169328	000359520	001809808	521	001997334	522	000171994	602	000259653	615	000099867	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59141194	D	59106	80451	55	15	07	01	R	030	000253352	003188413	003441765	000573915	002867850	521	003188413	522	000253352	602	000414494	615	000159421	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59144464	D	59122	80451	55	15	07	01	R	030	000148837	001658309	001807146	000298495	001508651	521	001658309	522	000148837	602	000215580	615	000082915	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59144993	D	59106	80443	55	15	07	01	R	030	000183368	002163853	002347221	000389494	001957727	521	002163853	522	000183368	602	000281301	615	000108193	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59148031	D	59106	80451	55	15	07	01	R	030	000183368	002163853	002347221	000389494	001957727	521	002163853	522	000183368	602	000281301	615	000108193	616	000000000	663	000000000	664	000000000	665	000000000	11	22
59148683	D	59106	80451	55	15	07	01	R	030	000176620	002065065	002241685	000371711	001869974	521	002065065	522	000176620	602	000268458	615	000103253	616	000000000	663	000000000	664	000000000	665	000000000	11	22
